UNITID,STAT_IC,LOCK_IC,IMP_IC,STAT_C,LOCK_C,PRCH_C,IDX_C,PCC_F,IMP_C,STAT_E12,LOCK_E12,PRCH_E12,IDX_E12,PCE12_F,IMP_E12 
100654,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
100663,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
100690,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
100706,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
100724,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
100733,1,8,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,.,-2
100751,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
100760,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
100812,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
100830,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
100858,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
100937,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101028,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101116,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101143,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101161,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101189,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101240,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101277,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101286,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101295,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101301,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101365,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101435,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101453,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101462,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101471,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101480,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101505,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101514,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101569,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101587,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101602,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101648,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101675,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101693,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101709,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101736,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101879,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101897,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101912,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
101994,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102030,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102049,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102058,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102067,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102076,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102094,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102234,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102270,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102298,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102313,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102368,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102377,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102395,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102429,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102553,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102580,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102614,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102632,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102669,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102711,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
102845,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
103501,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
103529,1,8,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,.,-2
103741,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
103893,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
103909,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
103927,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
103954,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
103963,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104090,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104151,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104160,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104179,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104346,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104391,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104425,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104443,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104568,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104577,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104586,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104665,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104708,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104717,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105136,1,8,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,.,-2
